"","Name","Link"
"155","mayur","http://www.tripadvisor.com/Restaurant_Review-g188590-d857970-Reviews-Mayur-Amsterdam_North_Holland_Province.html"
"156","Pizzeria Fuoco Vivo","http://www.tripadvisor.com/Restaurant_Review-g188590-d1870319-Reviews-Pizzeria_Fuoco_Vivo-Amsterdam_North_Holland_Province.html"
"157","Yamazato Restaurant","http://www.tripadvisor.com/Restaurant_Review-g188590-d693553-Reviews-Yamazato_Restaurant-Amsterdam_North_Holland_Province.html"
"158","La boutique del caffe","http://www.tripadvisor.com/Restaurant_Review-g188590-d5457090-Reviews-La_boutique_del_caffe-Amsterdam_North_Holland_Province.html"
"159","Blauw","http://www.tripadvisor.com/Restaurant_Review-g188590-d1986573-Reviews-Blauw-Amsterdam_North_Holland_Province.html"
"160","Bistro Noord","http://www.tripadvisor.com/Restaurant_Review-g188590-d7008449-Reviews-Bistro_Noord-Amsterdam_North_Holland_Province.html"
"161","Screaming Beans","http://www.tripadvisor.com/Restaurant_Review-g188590-d3226670-Reviews-Screaming_Beans-Amsterdam_North_Holland_Province.html"
"162","Ganesha","http://www.tripadvisor.com/Restaurant_Review-g188590-d1675679-Reviews-Ganesha-Amsterdam_North_Holland_Province.html"
"163","Bridges","http://www.tripadvisor.com/Restaurant_Review-g188590-d697076-Reviews-Bridges-Amsterdam_North_Holland_Province.html"
"164","Wijnbar Boelen & Boelen","http://www.tripadvisor.com/Restaurant_Review-g188590-d2702837-Reviews-Wijnbar_Boelen_Boelen-Amsterdam_North_Holland_Province.html"
"165","Leeman Doner","http://www.tripadvisor.com/Restaurant_Review-g188590-d7215401-Reviews-Leeman_Doner-Amsterdam_North_Holland_Province.html"
"166","Vesper Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d4062521-Reviews-Vesper_Bar-Amsterdam_North_Holland_Province.html"
"167","Lalibela","http://www.tripadvisor.com/Restaurant_Review-g188590-d3534202-Reviews-Lalibela-Amsterdam_North_Holland_Province.html"
"168","Cafe Onder de Ooievaar","http://www.tripadvisor.com/Restaurant_Review-g188590-d813201-Reviews-Cafe_Onder_de_Ooievaar-Amsterdam_North_Holland_Province.html"
"169","Barney's","http://www.tripadvisor.com/Restaurant_Review-g188590-d696883-Reviews-Barney_s-Amsterdam_North_Holland_Province.html"
"170","Maoz Vegetarian","http://www.tripadvisor.com/Restaurant_Review-g188590-d7928509-Reviews-Maoz_Vegetarian-Amsterdam_North_Holland_Province.html"
"171","Da Portare Via","http://www.tripadvisor.com/Restaurant_Review-g188590-d6127046-Reviews-Da_Portare_Via-Amsterdam_North_Holland_Province.html"
"172","Oolong restaurant cocktailbar","http://www.tripadvisor.com/Restaurant_Review-g188590-d6704512-Reviews-Oolong_restaurant_cocktailbar-Amsterdam_North_Holland_Province.html"
"173","Klaver 4 ontbijt- en lunchcafe","http://www.tripadvisor.com/Restaurant_Review-g188590-d3397804-Reviews-Klaver_4_ontbijt_en_lunchcafe-Amsterdam_North_Holland_Province.html"
"174","Bagels & Beans","http://www.tripadvisor.com/Restaurant_Review-g188590-d753257-Reviews-Bagels_Beans-Amsterdam_North_Holland_Province.html"
"175","Krua Thai Classic Restaurant","http://www.tripadvisor.com/Restaurant_Review-g188590-d1776852-Reviews-Krua_Thai_Classic_Restaurant-Amsterdam_North_Holland_Province.html"
"176","Le Cafeier","http://www.tripadvisor.com/Restaurant_Review-g188590-d3462483-Reviews-Le_Cafeier-Amsterdam_North_Holland_Province.html"
"177","The Seafood Bar Spui","http://www.tripadvisor.com/Restaurant_Review-g188590-d7837439-Reviews-The_Seafood_Bar_Spui-Amsterdam_North_Holland_Province.html"
"178","Humphrey's","http://www.tripadvisor.com/Restaurant_Review-g188590-d946652-Reviews-Humphrey_s-Amsterdam_North_Holland_Province.html"
